source_url,access_datetime,content,word
https://kun.uz/uz/news/2022/11/30/parda-ortidagi-xususiylashtirish-yirik-aktivlar-qanday-qilib-ofshor-kompaniyalarga-otib-ketmoqda,2022-12-03 00:47:11.631490,"Oxirgi yillarda davlat korxonalarini xususiylashtirish zarurligi ko'p bora ta'kidlandi. Chunki ular samarasiz, jamiyat uchun juda qimmatga tushadi va iqtisodiy o'sishga salbiy ta'sir ko'rsatadi. O'zbekistonda 2021-2025 yillar oralig'ida davlat ishtirokidagi korxonalar sonini 75 foizga qisqartirish maqsad qilingan. Ammo so'nggi paytlarda bu mavzu markazidagi munozarali jihat sotuvlar shaffofligiga ishonch pastligi bilan bog'liq holda kechmoqda.","['Oxirgi', 'yillarda', 'davlat', 'korxonalarini', 'xususiylashtirish', 'zarurligi', ""ko'p"", 'bora', ""ta'kidlandi."", 'Chunki', 'ular', 'samarasiz,', 'jamiyat', 'uchun', 'juda', 'qimmatga', 'tushadi', 'va', 'iqtisodiy', ""o'sishga"", 'salbiy', ""ta'sir"", ""ko'rsatadi."", ""O'zbekistonda"", '2021-2025', 'yillar', ""oralig'ida"", 'davlat', 'ishtirokidagi', 'korxonalar', 'sonini', '75', 'foizga', 'qisqartirish', 'maqsad', 'qilingan.', 'Ammo', ""so'nggi"", 'paytlarda', 'bu', 'mavzu', 'markazidagi', 'munozarali', 'jihat', 'sotuvlar', 'shaffofligiga', 'ishonch', 'pastligi', 'bilan', ""bog'liq"", 'holda', 'kechmoqda.']"
https://kun.uz/uz/news/2022/11/30/parda-ortidagi-xususiylashtirish-yirik-aktivlar-qanday-qilib-ofshor-kompaniyalarga-otib-ketmoqda,2022-12-03 00:47:11.631490,Xususiylashtirish nega kerak?,"['Xususiylashtirish', 'nega', 'kerak?']"
https://kun.uz/uz/news/2022/11/30/parda-ortidagi-xususiylashtirish-yirik-aktivlar-qanday-qilib-ofshor-kompaniyalarga-otib-ketmoqda,2022-12-03 00:47:11.631490,"Xususiylashtirishdan maqsad davlat aktivlarini eng yuqori narxlarda mulkdorlarga topshirishdan iborat. Mulkdor mulkni qancha qimmatga olsa, tabiiyki, tikkan pulini qaytarib olish uchun undan shuncha samarali foydalanadi.","['Xususiylashtirishdan', 'maqsad', 'davlat', 'aktivlarini', 'eng', 'yuqori', 'narxlarda', 'mulkdorlarga', 'topshirishdan', 'iborat.', 'Mulkdor', 'mulkni', 'qancha', 'qimmatga', 'olsa,', 'tabiiyki,', 'tikkan', 'pulini', 'qaytarib', 'olish', 'uchun', 'undan', 'shuncha', 'samarali', 'foydalanadi.']"
https://kun.uz/uz/news/2022/11/30/parda-ortidagi-xususiylashtirish-yirik-aktivlar-qanday-qilib-ofshor-kompaniyalarga-otib-ketmoqda,2022-12-03 00:47:11.631490,"Davlatning iqtisodiyotda yuqori darajada ishtirok etishi o'zaro raqobatga xalaqit beradi, monopoliya va korrupsiyani urchitadi.","['Davlatning', 'iqtisodiyotda', 'yuqori', 'darajada', 'ishtirok', 'etishi', ""o'zaro"", 'raqobatga', 'xalaqit', 'beradi,', 'monopoliya', 'va', 'korrupsiyani', 'urchitadi.']"
https://kun.uz/uz/news/2022/11/30/parda-ortidagi-xususiylashtirish-yirik-aktivlar-qanday-qilib-ofshor-kompaniyalarga-otib-ketmoqda,2022-12-03 00:47:11.631490,"Boshqaruv samaradorligi yuqori bo'lmagan, faqat zararga ishlaydigan davlat korxonalarini xususiylashtirish birinchi galda budjet uchun muhim. Xarajatlarni kamaytiradi, bu esa budjet pulini boshqa muhimroq narsalarga sarflashga imkon beradi.","['Boshqaruv', 'samaradorligi', 'yuqori', ""bo'lmagan,"", 'faqat', 'zararga', 'ishlaydigan', 'davlat', 'korxonalarini', 'xususiylashtirish', 'birinchi', 'galda', 'budjet', 'uchun', 'muhim.', 'Xarajatlarni', 'kamaytiradi,', 'bu', 'esa', 'budjet', 'pulini', 'boshqa', 'muhimroq', 'narsalarga', 'sarflashga', 'imkon', 'beradi.']"
https://kun.uz/uz/news/2022/11/30/parda-ortidagi-xususiylashtirish-yirik-aktivlar-qanday-qilib-ofshor-kompaniyalarga-otib-ketmoqda,2022-12-03 00:47:11.631490,"Shuningdek, mulkni davlat tasarrufidan chiqarish va xususiylashtirish bozor iqtisodiyotining ajralmas qismi, davlat mulkidan yanada samarali foydalanish, iqtisodiyotga davlat aralashuvini cheklash va xususiy sektor ulushini kengaytirish vositasi hisoblanadi.","['Shuningdek,', 'mulkni', 'davlat', 'tasarrufidan', 'chiqarish', 'va', 'xususiylashtirish', 'bozor', 'iqtisodiyotining', 'ajralmas', 'qismi,', 'davlat', 'mulkidan', 'yanada', 'samarali', 'foydalanish,', 'iqtisodiyotga', 'davlat', 'aralashuvini', 'cheklash', 'va', 'xususiy', 'sektor', 'ulushini', 'kengaytirish', 'vositasi', 'hisoblanadi.']"
https://kun.uz/uz/news/2022/11/30/parda-ortidagi-xususiylashtirish-yirik-aktivlar-qanday-qilib-ofshor-kompaniyalarga-otib-ketmoqda,2022-12-03 00:47:11.631490,"Masalan, UzAuto Motors ichki bozordagi mavjud talabni to'liq qondira olmayapti, ishlab chiqarayotgan avtomashinalarining narxi va sifati bo'yicha ham xaridorlarda turli xil savollar bor. Shu bilan birga, kompaniyaga berilgan imtiyozlarning soni, muddati va turfa xilligining chegarasi yo'qdek. Uning o'rniga mamlakatda xususiy kompaniyalar ko'paysa, ham raqobat ortadi va sifat yaxshilanadi, ham davlat budjetiga soliq tushumlari oshadi.","['Masalan,', 'UzAuto', 'Motors', 'ichki', 'bozordagi', 'mavjud', 'talabni', ""to'liq"", 'qondira', 'olmayapti,', 'ishlab', 'chiqarayotgan', 'avtomashinalarining', 'narxi', 'va', 'sifati', ""bo'yicha"", 'ham', 'xaridorlarda', 'turli', 'xil', 'savollar', 'bor.', 'Shu', 'bilan', 'birga,', 'kompaniyaga', 'berilgan', 'imtiyozlarning', 'soni,', 'muddati', 'va', 'turfa', 'xilligining', 'chegarasi', ""yo'qdek."", 'Uning', ""o'rniga"", 'mamlakatda', 'xususiy', 'kompaniyalar', ""ko'paysa,"", 'ham', 'raqobat', 'ortadi', 'va', 'sifat', 'yaxshilanadi,', 'ham', 'davlat', 'budjetiga', 'soliq', 'tushumlari', 'oshadi.']"
https://kun.uz/uz/news/2022/11/30/parda-ortidagi-xususiylashtirish-yirik-aktivlar-qanday-qilib-ofshor-kompaniyalarga-otib-ketmoqda,2022-12-03 00:47:11.631490,Shifoxonalarni sotib yuborish - bu qanaqa xususiylashtirish?,"['Shifoxonalarni', 'sotib', 'yuborish', '-', 'bu', 'qanaqa', 'xususiylashtirish?']"
https://kun.uz/uz/news/2022/11/30/parda-ortidagi-xususiylashtirish-yirik-aktivlar-qanday-qilib-ofshor-kompaniyalarga-otib-ketmoqda,2022-12-03 00:47:11.631490,"Xususiylashtirishning yana bir asosiy maqsadlaridan biri - samaradorlikni oshirish. Bu jarayonning adolatli va shaffof bo'lishida undagi elementlar judayam muhim. Ammo bugungi kunda mamlakatda amalga oshirilayotgan sub'yektiv ""o'zbekcha"" xususiylashtirish bir qancha savollarni yuzaga keltirmoqda. Ya'ni byurokratlarning sub'yektiv fikri va aqliga tayanilib, korxonalar tanlanmoqda va sotilyapti.","['Xususiylashtirishning', 'yana', 'bir', 'asosiy', 'maqsadlaridan', 'biri', '-', 'samaradorlikni', 'oshirish.', 'Bu', 'jarayonning', 'adolatli', 'va', 'shaffof', ""bo'lishida"", 'undagi', 'elementlar', 'judayam', 'muhim.', 'Ammo', 'bugungi', 'kunda', 'mamlakatda', 'amalga', 'oshirilayotgan', ""sub'yektiv"", '""o\'zbekcha""', 'xususiylashtirish', 'bir', 'qancha', 'savollarni', 'yuzaga', 'keltirmoqda.', ""Ya'ni"", 'byurokratlarning', ""sub'yektiv"", 'fikri', 'va', 'aqliga', 'tayanilib,', 'korxonalar', 'tanlanmoqda', 'va', 'sotilyapti.']"
https://kun.uz/uz/news/2022/11/30/parda-ortidagi-xususiylashtirish-yirik-aktivlar-qanday-qilib-ofshor-kompaniyalarga-otib-ketmoqda,2022-12-03 00:47:11.631490,Bunga eng ayanchli oxirgi misollardan biri - Respublika onkologiya markazi hamda uning Toshkent shahar va Toshkent viloyati filiallari binolarining sotuvga qo'yilishi. Toshkentning xaridorgir nuqtalarida joylashgan bu uchta shifoxonaning umumiy maydoni 17 gektar. Uchala obekt bo'yicha ham auksion bir kunda - 12 dekabrda o'tkaziladi. Onkologiya shifoxonalari shahar chekkarog'ida qurilayotgan yagona kompleksga ko'chiriladi. Olmazor tumanida qurilayotgan kompleks keyingi yil may oyida ishga tushirilishi aytilyapti. Uning qurilishi uchun 600 mlrd so'm ajratilgan. Bu 53 mln dollardan ko'proq mablag' degani. Bunaqa katta qiymatdagi davlat buyurtmasini olgan quruvchi kompaniya ham albatta begona emas: oxirgi yillarda Toshkentdagi qurilishlar bo'yicha milliardlab so'mlik davlat buyurtmalarini tendersiz olayotgan Mimar Group.,"['Bunga', 'eng', 'ayanchli', 'oxirgi', 'misollardan', 'biri', '-', 'Respublika', 'onkologiya', 'markazi', 'hamda', 'uning', 'Toshkent', 'shahar', 'va', 'Toshkent', 'viloyati', 'filiallari', 'binolarining', 'sotuvga', ""qo'yilishi."", 'Toshkentning', 'xaridorgir', 'nuqtalarida', 'joylashgan', 'bu', 'uchta', 'shifoxonaning', 'umumiy', 'maydoni', '17', 'gektar.', 'Uchala', 'obekt', ""bo'yicha"", 'ham', 'auksion', 'bir', 'kunda', '-', '12', 'dekabrda', ""o'tkaziladi."", 'Onkologiya', 'shifoxonalari', 'shahar', ""chekkarog'ida"", 'qurilayotgan', 'yagona', 'kompleksga', ""ko'chiriladi."", 'Olmazor', 'tumanida', 'qurilayotgan', 'kompleks', 'keyingi', 'yil', 'may', 'oyida', 'ishga', 'tushirilishi', 'aytilyapti.', 'Uning', 'qurilishi', 'uchun', '600', 'mlrd', ""so'm"", 'ajratilgan.', 'Bu', '53', 'mln', 'dollardan', ""ko'proq"", ""mablag'"", 'degani.', 'Bunaqa', 'katta', 'qiymatdagi', 'davlat', 'buyurtmasini', 'olgan', 'quruvchi', 'kompaniya', 'ham', 'albatta', 'begona', 'emas:', 'oxirgi', 'yillarda', 'Toshkentdagi', 'qurilishlar', ""bo'yicha"", 'milliardlab', ""so'mlik"", 'davlat', 'buyurtmalarini', 'tendersiz', 'olayotgan', 'Mimar', 'Group.']"
